ID,Sales
T1188341,50845.01
T1188342,32676.52
T1188343,59537.21
T1188344,34414.523
T1188345,34191.164
T1188346,59537.21
T1188347,50845.01
T1188348,43337.227
T1188349,46292.37
T1188350,31664.336
T1188351,45473.785
T1188352,34191.164
T1188353,34770.793
T1188354,37946.17
T1188355,37290.383
T1188356,29462.072
T1188357,43313.777
T1188358,21629.074
T1188359,32676.52
T1188360,45636.562
T1188361,27195.28
T1188362,34883.406
T1188363,37290.383
T1188364,27195.28
T1188365,34883.406
T1188366,29301.29
T1188367,34191.164
T1188368,28714.564
T1188369,34191.164
T1188370,44391.027
T1188371,34191.164
T1188372,45473.785
T1188373,28253.648
T1188374,29462.072
T1188375,59537.21
T1188376,51707.68
T1188377,29462.072
T1188378,34191.164
T1188379,25239.96
T1188380,59537.21
T1188381,29301.29
T1188382,34191.164
T1188383,29481.588
T1188384,29301.29
T1188385,39651.5
T1188386,34770.793
T1188387,59537.21
T1188388,54928.258
T1188389,28714.564
T1188390,75741.93
T1188391,34770.793
T1188392,47105.797
T1188393,59537.21
T1188394,41330.45
T1188395,34770.793
T1188396,59537.21
T1188397,34770.793
T1188398,37946.17
T1188399,34191.164
T1188400,43313.777
T1188401,32676.52
T1188402,20051.148
T1188403,59537.21
T1188404,32676.52
T1188405,34191.164
T1188406,22587.873
T1188407,50845.01
T1188408,34414.523
T1188409,39294.965
T1188410,23025.732
T1188411,50845.01
T1188412,21629.074
T1188413,34770.793
T1188414,27195.28
T1188415,34191.164
T1188416,37946.17
T1188417,45473.785
T1188418,34414.523
T1188419,44391.027
T1188420,54928.258
T1188421,20051.148
T1188422,47105.797
T1188423,54928.258
T1188424,34770.793
T1188425,34191.164
T1188426,34770.793
T1188427,54928.258
T1188428,34191.164
T1188429,59537.21
T1188430,44391.027
T1188431,34770.793
T1188432,18821.01
T1188433,50845.01
T1188434,34414.523
T1188435,28020.086
T1188436,44391.027
T1188437,54928.258
T1188438,23025.732
T1188439,44036.973
T1188440,34191.164
T1188441,29301.29
T1188442,32676.52
T1188443,34770.793
T1188444,37290.383
T1188445,32676.52
T1188446,26381.44
T1188447,59537.21
T1188448,50845.01
T1188449,34191.164
T1188450,34414.523
T1188451,45636.562
T1188452,18821.01
T1188453,44391.027
T1188454,29301.29
T1188455,59537.21
T1188456,25523.383
T1188457,25667.453
T1188458,32676.52
T1188459,59537.21
T1188460,20051.148
T1188461,41330.45
T1188462,34191.164
T1188463,20923.104
T1188464,44391.027
T1188465,32676.52
T1188466,29462.072
T1188467,23292.162
T1188468,34414.523
T1188469,34770.793
T1188470,18821.01
T1188471,34191.164
T1188472,39651.5
T1188473,39651.5
T1188474,43313.777
T1188475,18821.01
T1188476,43337.227
T1188477,34414.523
T1188478,34770.793
T1188479,18821.01
T1188480,41330.45
T1188481,46292.37
T1188482,39651.5
T1188483,45473.785
T1188484,46292.37
T1188485,27195.28
T1188486,20923.104
T1188487,34690.83
T1188488,34770.793
T1188489,34191.164
T1188490,46292.37
T1188491,34770.793
T1188492,28253.648
T1188493,29301.29
T1188494,45473.785
T1188495,24706.55
T1188496,43313.777
T1188497,23292.162
T1188498,34191.164
T1188499,34191.164
T1188500,51707.68
T1188501,29462.072
T1188502,34191.164
T1188503,26164.77
T1188504,28253.648
T1188505,29301.29
T1188506,44391.027
T1188507,34414.523
T1188508,34191.164
T1188509,25579.508
T1188510,34191.164
T1188511,29301.29
T1188512,37290.383
T1188513,28020.086
T1188514,34414.523
T1188515,54928.258
T1188516,34191.164
T1188517,47105.797
T1188518,34414.523
T1188519,44391.027
T1188520,20051.148
T1188521,45636.562
T1188522,34770.793
T1188523,27195.28
T1188524,40570.7
